income_id,date_received,amount,source,notes,link_to_member
rec0s9ZrO15zhzUeE,2019-10-17,50,Dues,,reccW7q1KkhSKZsea
rec7f5XMQZexgtQJo,2019-09-04,50,Dues,,recTjHY5xXhvkCdVT
rec8BUJa8GXUjiglg,2019-10-08,50,Dues,,recUdRhbhcEO1Hk5r
rec8V9BPNIoewWt2z,2019-10-02,50,Dues,,rec3pH4DxMcWHMRB7
recCRWMfFqifuKMc6,2019-09-18,50,Dues,,rec28ORZgcm1dtqBZ
recMCFQxAiJXxrbsG,2019-10-31,50,Dues,,recZN8afUWlE5fZHG
recMFy9sJHhuPZ4cz,2019-09-25,50,Dues,,recjHj4BS5A541n9v
recN3WFwGR0c17xe2,2019-09-14,200,Fundraising,Secured donations to help pay for speaker gifts.,
recOo362sJrXFv2az,2019-09-25,50,Dues,,recL94zpn6Xh6kQii
recPG7h3YcEJpddEW,2019-09-16,50,Dues,,recro8T1MPMwRadVH
recQbFmQX2KuVppds,2019-09-29,50,Dues,,recQaxyXBQG5BBtD0
recSOleKmRLKSGUxk,2019-09-08,50,Dues,,recf4UKTfipCzgcSA
recUFwEienSiuGvVC,2019-09-21,50,Dues,,recEFd8s6pkrTt4Pz
recVPX6dYgYBJHMhL,2019-10-24,50,Dues,,reccSUPwy30AeZLEb
recXFdA0P6QkxSqg8,2019-09-18,50,Dues,,recP6DJPyi5donvXL
recbCZLKaq6fihDEu,2019-09-27,50,Dues,,recxBj3tjKTGHqucS
recbQzf35tUvQBCbc,2019-09-24,50,Dues,,recEymrwCUKxiiosI
reccMyjWLJhKIWSeJ,2019-09-25,50,Dues,,recttfySfQnYb68u3
recenMwUQktMpDTQc,2019-09-01,3000,School Appropration,Annual funding from Student Government.,
rech1nxcukSGGnyJC,2019-10-10,50,Dues,,recuSfhAZIlKba4s2
rechQXnBZCeVcoQuo,2019-10-14,50,Dues,,recJMazpPVexyFYTc
reciGUKgh5pDSQODm,2019-10-31,50,Dues,,rec4O9rmGnLx3j8vt
recihQPJWBjlTlS5i,2019-10-13,50,Dues,,recVsoJJHFI8bgtfw
recka3W3hlDj92QZY,2019-09-09,50,Dues,,rec4BLdZHS2Blfp4v
recmJAim3kpGlGDgp,2019-09-09,50,Dues,,rec75vvFxgYtHmqxY
recmUxQVGCGs6NLV4,2019-09-11,50,Dues,,rec280Sk7o31iG0Tx
recms6rgtCkMIYg1A,2019-09-22,50,Dues,,recD078PnS3x2doBe
reco9QqFb4mD5TRcW,2019-09-23,50,Dues,,rec4BLdZHS2Blfp4v
recpLlf3mXQn3oGdj,2019-10-31,50,Dues,,rec1x5zBFIqoOuPW8
recphAFPbyclQY63d,2019-10-05,1000,Sponsorship,Ad revenue for use on flyers used to advertise upcoming events.,
recpiEFskUe0ccvmq,2019-09-25,50,Dues,,recWh2lJVOT6HjChK
recqHWeEomHX3ytUe,2019-10-04,50,Dues,,recsTO4OZIF9rbubk
recuH1QWNo5JMi2uc,2019-09-28,50,Dues,,recL4aEZBZoPk9NYx
recudPRjARER5Nt9B,2019-09-06,50,Dues,,recT92PyyZCGq1R68
recveMvTiFV83rb8t,2019-09-13,50,Dues,,recZ4PkGERzl9ziHO
reczYkzM4iPYdi8rh,2019-09-12,50,Dues,,rec3pH4DxMcWHMRB7
