Each record represents a work of art that was painted by one of the artists in this database and is displayed in one of the museums in this database.  ,https://docs.google.com/spreadsheets/d/e/2PACX-1vSOwzF6ydDZFQflMt7U6VdBjwbj08C02gyESoFjOJ_JW5UBA26gYV8eGwWk51y4h3lH52A35yov7qWN/pub?gid=250719604&single=true&output=csv,"{""top"":10,""left"":116}
",,,,
key,,museum,artist,,,
Integer,varchar(50),Integer,Integer,char(20),Integer,Integer
"A unique identifier for each work of art, used to differentiate one work from another as two works could have the same name.",The name of the work of art as designated by the artist who painted it,A foreign key that identifies the museum where a particular work of art is on display,A foreign key that identifies the artist who painted a particular work of art,The style of the work of art,The width of the painting in inches,The height of the painting in inches
,,"M180,79 h112 a3,3 0 0 0 3,-3 v-32 a3,3 0 0 1 3,-3 h49","M87,43 h16.5 a3,3 0 0 1 3,3 v50 a3,3 0 0 0 3,3 h18.5",,,
work_id,name,museum_id,artist_id,style,width,height
178,Starry Night,30,677,Post-Impressionism,36,29
179,Blossoming Almond Tree,57,677,Post-Impressionism,36,29
180,Café Terrace at Night,43,677,Post-Impressionism,26,32
382,A Group of Cottages,34,677,Post-Impressionism,29,24
403,Bouquet of Flowers in a Vase,35,677,Post-Impressionism,21,26
407,Bulb Fields,46,677,Post-Impressionism,26,19
413,"Cottages and Cypresses, Reminiscence of the North",43,677,Post-Impressionism,20,16
415,Cypresses,35,677,Post-Impressionism,29,37
417,Daubigny Garden,43,677,Post-Impressionism,40,20
418,Daubigny's Garden,57,677,Post-Impressionism,20,20
420,Dr. Paul Gachet,49,677,Post-Impressionism,22,27
429,Farmhouse in a Wheatfield,43,677,Post-Impressionism,20,20
464,First Steps (after Millet),35,677,Post-Impressionism,36,29
465,Fishing Boats on the Beach,43,677,Post-Impressionism,32,26
466,"Fishing in the Spring, Pont de Clichy",68,677,Post-Impressionism,24,20
469,Flowering Garden,35,677,Post-Impressionism,29,36
475,Imperial Fritillaries in a Copper Vase,49,677,Post-Impressionism,24,30
476,Garden Behind a House,43,677,Post-Impressionism,16,20
479,Garden with Flowers,35,677,Post-Impressionism,20,16
480,Gauguin Chair,43,677,Post-Impressionism,16,20
481,"Green Wheat Fields, Auvers",46,677,Post-Impressionism,20,16
483,Green Wheatfield with Cypress,84,677,Post-Impressionism,36,29
484,Half-Figure of an Angel (after Rembrandt),43,677,Post-Impressionism,20,16
485,Harvest at La Crau,43,677,Post-Impressionism,36,29
488,Houses and Figure,51,677,Post-Impressionism,19,24
520,House at Auvers,59,677,Post-Impressionism,29,24
523,Irises,55,677,Post-Impressionism,24,19
524,Irises in White Vase,35,677,Post-Impressionism,36,29
525,Japanese Vase with Roses and Anemones,49,677,Post-Impressionism,24,24
526,"La Berceuse, Portrait of Madame Roulin",35,677,Post-Impressionism,29,37
528,"La Mousme, Sitting",46,677,Post-Impressionism,19,24
529,Landscape at Saint-Remy,57,677,Post-Impressionism,38,30
530,Landscape at Twilight,43,677,Post-Impressionism,24,12
531,Landscape with Carriage and Train,31,677,Post-Impressionism,35,28
535,Langlois Bridge at Arles,49,677,Post-Impressionism,30,24
536,"L'Arlesienne, Portrait of Madame Ginoux",35,677,Post-Impressionism,29,36
544,Lilac Bush,34,677,Post-Impressionism,20,16
545,Long Grass with Butterflies,47,677,Post-Impressionism,32,25
546,Madame Augustine Roulin with Baby,35,677,Post-Impressionism,16,20
548,Marguerite Gachet in the Garden,49,677,Post-Impressionism,30,24
549,Memory of the Garden of Eden,34,677,Post-Impressionism,36,29
583,Mountains at Saint-Remy with Dark Cottage,61,677,Post-Impressionism,20,16
585,"Noon, Rest from Work (The Siesta)",49,677,Post-Impressionism,36,29
587,Olive Grove,43,677,Post-Impressionism,20,16
591,Olive Trees,35,677,Post-Impressionism,20,16
595,Orchard in Blossom,43,677,Post-Impressionism,37,29
598,"Orchards in Blossom, View of Arles",43,677,Post-Impressionism,20,16
601,Landscape with a House and a Ploughman,34,677,Post-Impressionism,30,24
602,Peach Trees in Blossom,43,677,Post-Impressionism,24,32
605,Pieta (after Delacroix),43,677,Post-Impressionism,24,29
608,Plaster Statuette of a Female Torso,43,677,Post-Impressionism,16,20
640,Ploughed Fields,43,677,Post-Impressionism,20,16
642,Portrait of a Peasant,85,677,Post-Impressionism,22,25
643,"Portrait of a Restaurant Owner, Lucien Martin",47,677,Post-Impressionism,16,20
644,Portrait of a Woman in Blue,43,677,Post-Impressionism,16,20
648,Portrait of Armand Roulin,36,677,Post-Impressionism,16,20
